word,city,country,county,region,first_name,last_name,person,relation
greece,0,1,0,0,0,0,0,0
green,0,0,0,0,0,1,0,0
gregory,0,0,0,0,1,0,0,0
griffiths,0,0,0,0,0,1,0,0
guatemala,0,1,0,0,0,0,0,0
gwent,0,0,1,0,0,0,0,0
hall,0,0,0,0,0,1,0,0
hampshire,0,0,1,0,0,0,0,0
harold,0,0,0,0,1,0,0,0
harold_pinter,0,0,0,0,0,0,1,0
harold_wilson,0,0,0,0,0,0,1,0
harper,0,0,0,0,0,1,0,0
harris,0,0,0,0,0,1,0,0
harrison,0,0,0,0,0,1,0,0
harry,0,0,0,0,1,0,0,0
harvey,0,0,0,0,0,1,0,0
herbert,0,0,0,0,1,0,0,0
hereford,1,0,0,0,0,0,0,0
herefordshire,0,0,1,0,0,0,0,0
hertfordshire,0,0,1,0,0,0,0,0
hill,0,0,0,0,0,1,0,0
hillary_clinton,0,0,0,0,0,0,1,0
hitler,0,0,0,0,0,1,0,0
holmes,0,0,0,0,0,1,0,0
hong_kong,1,1,0,0,0,0,0,0
houston,1,0,0,0,0,0,0,0
hove,1,0,0,0,0,0,0,0
hughes,0,0,0,0,0,1,0,0
hull,1,0,0,0,0,0,0,0
humberside,0,0,1,0,0,0,0,0
hungary,0,1,0,0,0,0,0,0
hunt,0,0,0,0,0,1,0,0
husband,0,0,0,0,0,0,0,1
hussain,0,0,0,0,0,1,0,0
india,0,1,0,0,0,0,0,0
indira_gandhi,0,0,0,0,0,0,1,0
indonesia,0,1,0,0,0,0,0,0
ingmar_bergman,0,0,0,0,0,0,1,0
inverness,1,0,0,0,0,0,0,0
iran,0,1,0,0,0,0,0,0
iraq,0,1,0,0,0,0,0,0
ireland,0,1,0,0,0,0,0,0
isaac,0,0,0,0,1,0,0,0
isaac_asimov,0,0,0,0,0,0,1,0
israel,0,1,0,0,0,0,0,0
italy,0,1,0,0,0,0,0,0
jackson,0,0,0,0,0,1,0,0
james,0,0,0,0,1,0,0,0
janet,0,0,0,0,1,0,0,0
japan,0,1,0,0,0,0,0,0
jeffrey,0,0,0,0,1,0,0,0
jenkins,0,0,0,0,0,1,0,0
jeremy_clarkson,0,0,0,0,0,0,1,0
joan,0,0,0,0,1,0,0,0
joan_collins,0,0,0,0,0,0,1,0
john,0,0,0,0,1,0,0,0
johnson,0,0,0,0,0,1,0,0
jonathan,0,0,0,0,1,0,0,0
jones,0,0,0,0,0,1,0,0
joseph,0,0,0,0,1,0,0,0
julie,0,0,0,0,1,0,0,0
julius_caesar,0,0,0,0,0,0,1,0
kate,0,0,0,0,1,0,0,0
kelly,0,0,0,0,1,1,0,0
kent,0,0,1,0,0,0,0,0
khan,0,0,0,0,0,1,0,0
king,0,0,0,0,0,1,0,0
kirk_douglas,0,0,0,0,0,0,1,0
knight,0,0,0,0,0,1,0,0
korea,0,1,0,0,0,0,0,0
lancashire,0,0,1,0,0,0,0,0
lancaster,1,0,0,0,0,0,0,0
le_mans,1,0,0,0,0,0,0,0
lebanon,0,1,0,0,0,0,0,0
lee,0,0,0,0,1,1,0,0
leeds,1,0,0,0,0,0,0,0
leicester,1,0,0,0,0,0,0,0
leicestershire,0,0,1,0,0,0,0,0
leon_trotsky,0,0,0,0,0,0,1,0
lewis,0,0,0,0,1,1,0,0
lichfield,1,0,0,0,0,0,0,0
lincoln,1,0,0,0,0,1,0,0
lincolnshire,0,0,1,0,0,0,0,0
lisburn,1,0,0,0,0,0,0,0
liverpool,1,0,0,0,0,0,0,0
lloyd,0,0,0,0,0,1,0,0
london,1,0,0,0,0,0,0,0
los_angeles,1,0,0,0,0,0,0,0
lothian,0,0,1,0,0,0,0,0
louis,0,0,0,0,1,0,0,0
louis_pasteur,0,0,0,0,0,0,1,0
madrid,1,0,0,0,0,0,0,0
maidenhead,1,0,0,0,0,0,0,0
malaysia,0,1,0,0,0,0,0,0
manchester,1,0,0,0,0,0,0,0
marco_polo,0,0,0,0,0,0,1,0
margaret_thatcher,0,0,0,0,0,0,1,0
marie,0,0,0,0,1,0,0,0
marshall,0,0,0,0,0,1,0,0
martin,0,0,0,0,0,1,0,0
mason,0,0,0,0,0,1,0,0
matthews,0,0,0,0,0,1,0,0
mcgrath,0,0,0,0,0,1,0,0
melbourne,1,0,0,0,0,0,0,0
merseyside,0,0,1,0,0,0,0,0
metternich,0,0,0,0,0,1,0,0
mexico,0,1,0,0,0,0,0,0
miami,1,0,0,0,0,0,0,0
michael,0,0,0,0,1,0,0,0
michael_caine,0,0,0,0,0,0,1,0
middle_east,0,0,0,1,0,0,0,0
mike_harris,0,0,0,0,0,0,1,0
mikhail,0,0,0,0,1,0,0,0
miller,0,0,0,0,0,1,0,0
mills,0,0,0,0,0,1,0,0
mitchell,0,0,0,0,0,1,0,0
montenegro,0,1,0,0,0,0,0,0
montreal,1,0,0,0,0,0,0,0
moore,0,0,0,0,0,1,0,0
morgan,0,0,0,0,1,1,0,0
morocco,0,1,0,0,0,0,0,0
morris,0,0,0,0,0,1,0,0
moscow,1,0,0,0,0,0,0,0
mother,0,0,0,0,0,0,0,1
mum,0,0,0,0,0,0,0,1
munich,1,0,0,0,0,0,0,0
murphy,0,0,0,0,0,1,0,0
murray,0,0,0,0,0,1,0,0
natasha,0,0,0,0,1,0,0,0
nelson,0,0,0,0,1,0,0,0
nelson_mandela,0,0,0,0,0,0,1,0
nepal,0,1,0,0,0,0,0,0
nephew,0,0,0,0,0,0,0,1
netherlands,0,1,0,0,0,0,0,0
new_york,1,0,0,0,0,0,0,0
new_zealand,0,1,0,0,0,0,0,0
newcastle,1,0,0,0,0,0,0,0
newport,1,0,0,0,0,0,0,0
newry,1,0,0,0,0,0,0,0
niece,0,0,0,0,0,0,0,1
nigeria,0,1,0,0,0,0,0,0
nina,0,0,0,0,1,0,0,0
norfolk,0,0,1,0,0,0,0,0
north_africa,0,0,0,1,0,0,0,0
north_america,0,0,0,1,0,0,0,0
northamptonshire,0,0,1,0,0,0,0,0
northumberland,0,0,1,0,0,0,0,0
norway,0,1,0,0,0,0,0,0
norwich,1,0,0,0,0,0,0,0
nottingham,1,0,0,0,0,0,0,0
nottinghamshire,0,0,1,0,0,0,0,0
osama_bin_laden,0,0,0,0,0,0,1,0
oslo,1,0,0,0,0,0,0,0
ottawa,1,0,0,0,0,0,0,0
owen,0,0,0,0,0,1,0,0
oxford,1,0,0,0,0,0,0,0
oxfordshire,0,0,1,0,0,0,0,0
pacino,0,0,0,0,0,1,0,0
pakistan,0,1,0,0,0,0,0,0
palestine,0,1,0,0,0,0,0,0
palmer,0,0,0,0,0,1,0,0
paris,1,0,0,0,0,0,0,0
parker,0,0,0,0,0,1,0,0
parsons,0,0,0,0,0,0,0,0
pasteur,0,0,0,0,0,1,0,0
patel,0,0,0,0,0,1,0,0
patrick,0,0,0,0,1,0,0,0
payne,1,0,0,0,0,0,0,0
perth,1,0,0,0,0,0,0,0
peru,0,1,0,0,0,0,0,0
peter,0,0,0,0,1,0,0,0
peterborough,1,0,0,0,0,0,0,0
philadelphia,1,0,0,0,0,0,0,0
philippines,0,1,0,0,0,0,0,0
phillips,0,0,0,0,0,1,0,0
plymouth,1,0,0,0,0,0,0,0
poland,0,1,0,0,0,0,0,0
portsmouth,1,0,0,0,0,0,0,0
portugal,0,1,0,0,0,0,0,0
powell,0,0,0,0,0,1,0,0
powys,0,0,1,0,0,0,0,0
prague,1,0,0,0,0,0,0,0
preston,1,0,0,0,0,0,0,0
price,0,0,0,0,0,1,0,0
puerto_rico,0,1,0,0,0,0,0,0
richard,0,0,0,0,1,0,0,0
richard_branson,0,0,0,0,0,0,1,0
richards,0,0,0,0,0,1,0,0
richardson,0,0,0,0,0,1,0,0
ripon,1,0,0,0,0,0,0,0
robert,0,0,0,0,1,0,0,0
roberts,0,0,0,0,0,1,0,0
robinson,0,0,0,0,0,1,0,0
rogers,0,0,0,0,0,1,0,0
romania,0,1,0,0,0,0,0,0
rome,1,0,0,0,0,0,0,0
ross,0,0,0,0,0,1,0,0
russell,0,0,0,0,0,1,0,0
russia,0,1,0,0,0,0,0,0
rutland,0,0,1,0,0,0,0,0
saddam_hussein,0,0,0,0,0,0,1,0
salford,1,0,0,0,0,0,0,0
salisbury,1,0,0,0,0,0,0,0
sam,0,0,0,0,1,0,0,0
samuel,0,0,0,0,1,0,0,0
san_antonio,1,0,0,0,0,0,0,0
san_diego,1,0,0,0,0,0,0,0
san_francisco,1,0,0,0,0,0,0,0
sanford,0,0,0,0,0,1,0,0
santo_domingo,1,0,0,0,0,0,0,0
saudi_arabia,0,1,0,0,0,0,0,0
scott,0,0,0,0,1,0,0,0
seoul,1,0,0,0,0,0,0,0
serbia,0,1,0,0,0,0,0,0
shakespeare,0,0,0,0,0,1,0,0
shaw,0,0,0,0,0,1,0,0
sheffield,1,0,0,0,0,0,0,0
shropshire,0,0,1,0,0,0,0,0
simpson,0,0,0,0,0,1,0,0
singapore,0,1,0,0,0,0,0,0
singh,0,0,0,0,0,1,0,0
sioux_city,1,0,0,0,0,0,0,0
sister,0,0,0,0,0,0,0,1
slough,1,0,0,0,0,0,0,0
small,0,0,0,0,0,1,0,0
smith,0,0,0,0,0,1,0,0
somerset,0,0,1,0,0,0,0,0
son,0,0,0,0,0,0,0,1
south_africa,0,1,0,0,0,0,0,0
south_america,0,0,0,1,0,0,0,0
south_korea,0,1,0,0,0,0,0,0
southampton,1,0,0,0,0,0,0,0
soviet_union,0,1,0,0,0,0,0,0
spain,0,1,0,0,0,0,0,0
sri_lanka,0,1,0,0,0,0,0,0
st_albans,1,0,0,0,0,0,0,0
st_asaph,1,0,0,0,0,0,0,0
st_davids,1,0,0,0,0,0,0,0
staffordshire,0,0,1,0,0,0,0,0
stephen,0,0,0,0,1,0,0,0
steven,0,0,0,0,1,0,0,0
stevens,0,0,0,0,0,1,0,0
stewart,0,0,0,0,1,0,0,0
stirling,1,0,0,0,0,0,0,0
stockholm,1,0,0,0,0,0,0,0
strathclyde,0,0,1,0,0,0,0,0
strickland,0,0,0,0,0,1,0,0
sue,0,0,0,0,1,0,0,0
suffolk,0,0,1,0,0,0,0,0
sunderland,1,0,0,0,0,0,0,0
surrey,0,0,1,0,0,0,0,0
susan,0,0,0,0,1,0,0,0
suzanne,0,0,0,0,1,0,0,0
swansea,1,0,0,0,0,0,0,0
sweden,0,1,0,0,0,0,0,0
switzerland,0,1,0,0,0,0,0,0
sydney,1,0,0,0,0,0,0,0
sylvester,0,0,0,0,1,0,0,0
sylvester_stallone,0,0,0,0,0,0,1,0
syria,0,1,0,0,0,0,0,0
taiwan,0,1,0,0,0,0,0,0
taylor,0,0,0,0,0,1,0,0
tayside,0,0,1,0,0,0,0,0
thailand,0,1,0,0,0,0,0,0
thatcher,0,0,0,0,0,1,0,0
thomas,0,0,0,0,1,0,0,0
thompson,0,0,0,0,0,1,0,0
thomson,0,0,0,0,0,1,0,0
tokyo,1,0,0,0,0,0,0,0
tom,0,0,0,0,1,0,0,0
tom_waits,0,0,0,0,0,0,1,0
toronto,1,0,0,0,0,0,0,0
truro,1,0,0,0,0,0,0,0
turing,0,0,0,0,0,1,0,0
turkey,0,1,0,0,0,0,0,0
turner,0,0,0,0,0,1,0,0
twiggy,0,0,0,0,0,0,1,0
uk,0,1,0,0,0,0,0,0
ukraine,0,1,0,0,0,0,0,0
uncle,0,0,0,0,0,0,0,1
united_kingdom,0,1,0,0,0,0,0,0
united_states,0,1,0,0,0,0,0,0
uruguay,0,1,0,0,0,0,0,0
usa,0,1,0,0,0,0,0,0
vancouver,1,0,0,0,0,0,0,0
venezuela,0,1,0,0,0,0,0,0
vienna,1,0,0,0,0,0,0,0
vietnam,0,1,0,0,0,0,0,0
vladimir,0,0,0,0,1,0,0,0
vladimir_putin,0,0,0,0,0,0,1,0
wagner,0,0,0,0,0,1,0,0
wakefield,1,0,0,0,0,1,0,0
walker,0,0,0,0,0,1,0,0
wallace,0,0,0,0,0,1,0,0
wallenstein,0,0,0,0,0,1,0,0
walsh,0,0,0,0,0,1,0,0
walter,0,0,0,0,1,0,0,0
ward,0,0,0,0,0,1,0,0
warsaw,1,0,0,0,0,0,0,0
warwickshire,0,0,1,0,0,0,0,0
watson,0,0,0,0,0,1,0,0
webb,0,0,0,0,0,1,0,0
white,0,0,0,0,0,1,0,0
whitehurst,0,0,0,0,0,1,0,0
wife,0,0,0,0,0,0,0,1
wilkinson,0,0,0,0,0,1,0,0
william,0,0,0,0,1,0,0,0
william_shakespeare,0,0,0,0,0,0,1,0
william_shatner,0,0,0,0,0,0,1,0
williams,0,0,0,0,0,1,0,0
wilson,0,0,0,0,0,1,0,0
wiltshire,0,0,1,0,0,0,0,0
winchester,1,0,0,0,0,0,0,0
windsor,1,0,0,0,0,0,0,0
winston_churchill,0,0,0,0,0,0,1,0
wolverhampton,1,0,0,0,0,0,0,0
wood,0,0,0,0,0,1,0,0
worcester,1,0,0,0,0,0,0,0
worcestershire,0,0,1,0,0,0,0,0
wright,0,0,0,0,0,1,0,0
york,1,0,0,0,0,0,0,0
youngstown,1,0,0,0,0,0,0,0
yugoslavia,0,1,0,0,0,0,0,0
